@relation twit_classification

@attribute 1st_person_pro numeric
@attribute 2nd_person_pro numeric
@attribute 3rd_person_pro numeric
@attribute coord_conj numeric
@attribute past_verb numeric
@attribute future_tense numeric
@attribute comma numeric
@attribute colon numeric
@attribute dash numeric
@attribute parenthese numeric
@attribute ellipse numeric
@attribute common_noun numeric
@attribute proper_noun numeric
@attribute adverb numeric
@attribute wh_word numeric
@attribute slang numeric
@attribute all_upper_word numeric
@attribute avg_sent_len numeric
@attribute avg_token_len numeric
@attribute num_of_sent numeric
@attribute twit {Britney-Spears,Justin-Bieber,Katy-Perry,Lady-Gaga,Rihanna,Taylor-Swift}

@data
0,0,0,0,0,0,2,1,1,0,0,3,4,0,0,0,0,10.000000,3.692308,1,Britney-Spears
2,2,0,0,3,0,0,2,1,1,0,7,1,1,0,1,1,26.000000,2.812500,1,Britney-Spears
1,3,0,0,0,0,0,0,0,2,0,3,0,2,0,0,0,14.000000,2.947368,1,Britney-Spears
0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,5.000000,2.125000,1,Britney-Spears
2,0,0,0,3,0,1,0,1,0,1,5,2,2,0,0,2,18.000000,2.954545,1,Britney-Spears
0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,5.000000,2.400000,1,Britney-Spears
0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,0,0,10.000000,3.083333,1,Britney-Spears
0,0,1,0,0,0,1,1,1,0,0,3,3,1,1,0,1,9.000000,3.285714,2,Britney-Spears
0,1,0,0,0,1,0,0,0,2,0,2,0,0,1,0,0,8.000000,3.000000,1,Britney-Spears
0,0,0,0,0,0,0,0,1,2,0,3,5,1,1,0,0,20.000000,3.869565,1,Britney-Spears
0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,1,0,4.000000,2.700000,2,Britney-Spears
0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,5.000000,2.400000,1,Britney-Spears
0,3,0,0,1,0,1,2,1,1,0,3,2,3,0,1,1,7.666667,2.642857,3,Britney-Spears
1,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,9.000000,3.500000,1,Britney-Spears
0,1,1,1,0,1,0,0,2,0,0,3,3,1,0,0,2,23.000000,3.280000,1,Britney-Spears
0,1,0,0,0,0,0,0,1,0,0,4,0,2,0,1,1,17.000000,3.333333,1,Britney-Spears
0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,1,7.000000,4.857143,1,Britney-Spears
0,4,0,1,2,0,0,0,1,0,0,6,4,0,0,4,2,13.500000,3.357143,2,Britney-Spears
0,1,0,1,0,0,0,0,1,0,0,5,3,2,0,0,1,24.000000,4.520000,1,Britney-Spears
1,1,0,0,0,0,0,1,0,0,0,4,7,0,1,0,0,10.500000,3.375000,2,Britney-Spears
0,1,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,5.500000,3.153846,2,Britney-Spears
1,0,0,1,0,0,0,0,1,0,1,7,0,0,0,0,0,22.000000,3.416667,1,Britney-Spears
0,1,1,0,0,0,0,0,1,0,1,2,2,1,0,0,0,4.750000,3.850000,4,Britney-Spears
0,0,0,0,0,0,2,1,1,0,0,5,2,0,0,0,0,10.000000,3.307692,1,Britney-Spears
1,0,0,1,1,0,0,1,1,0,0,5,0,0,0,0,0,18.000000,3.550000,1,Britney-Spears
0,0,0,0,0,0,1,0,1,0,1,3,1,1,0,0,0,4.333333,2.933333,3,Britney-Spears
0,0,0,0,0,0,0,1,1,0,0,3,1,0,1,0,1,11.000000,3.000000,1,Britney-Spears
0,0,0,1,1,0,5,0,1,0,0,4,8,2,0,0,0,21.000000,3.925926,1,Britney-Spears
0,0,0,0,0,0,0,0,1,0,1,5,5,0,0,0,0,20.000000,3.000000,1,Britney-Spears
1,0,0,1,2,0,0,0,0,0,0,7,0,1,0,0,0,10.500000,4.500000,2,Britney-Spears
0,0,0,0,0,1,0,0,1,0,0,4,1,0,0,1,0,6.000000,2.500000,1,Britney-Spears
3,0,1,1,0,0,0,0,7,0,1,6,1,0,0,0,0,13.500000,2.285714,2,Britney-Spears
0,1,1,0,1,0,0,0,1,0,0,1,1,2,0,0,0,5.000000,3.187500,3,Britney-Spears
1,0,1,1,5,0,1,0,1,0,0,2,5,1,0,0,0,9.333333,3.193548,3,Britney-Spears
0,0,0,0,0,0,0,0,1,0,0,5,2,0,0,0,0,20.000000,3.904762,1,Britney-Spears
0,1,0,0,0,0,1,1,1,0,0,8,6,0,0,0,1,27.000000,2.687500,1,Britney-Spears
0,0,0,0,0,0,2,0,1,0,0,2,3,0,0,0,0,9.000000,3.636364,1,Britney-Spears
1,0,0,0,0,0,0,0,1,0,0,5,0,1,0,0,0,11.500000,3.250000,2,Britney-Spears
0,2,1,0,2,0,0,0,1,0,0,6,1,3,0,1,3,5.500000,2.782609,4,Britney-Spears
0,1,0,0,0,0,1,0,0,0,1,4,2,1,1,0,0,9.500000,3.380952,2,Britney-Spears
0,0,1,0,0,0,0,1,1,0,0,5,2,0,0,0,1,6.000000,2.266667,2,Britney-Spears
0,0,0,1,0,0,0,0,0,0,0,6,3,1,0,0,0,10.500000,4.000000,2,Britney-Spears
0,0,0,0,0,0,1,0,2,0,0,2,1,0,0,0,0,6.000000,4.375000,1,Britney-Spears
0,1,0,0,0,0,0,1,1,0,1,7,1,3,0,1,1,5.000000,2.916667,4,Britney-Spears
0,0,0,0,1,0,0,0,1,0,0,3,0,1,0,1,0,6.000000,2.846154,2,Britney-Spears
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0,Britney-Spears
1,0,2,0,1,0,1,0,0,0,0,9,2,0,1,0,0,13.500000,3.586207,2,Britney-Spears
0,3,0,0,3,0,0,2,1,1,0,6,1,2,0,1,16,6.000000,3.000000,4,Britney-Spears
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.000000,2.500000,1,Britney-Spears
0,0,1,1,0,1,1,0,1,0,0,6,1,0,0,0,0,10.500000,3.625000,2,Britney-Spears
1,0,0,1,0,0,0,0,1,0,0,4,4,1,1,0,1,7.666667,3.416667,3,Britney-Spears
1,1,0,0,2,0,0,0,1,0,0,6,4,1,0,0,2,7.000000,3.260870,3,Britney-Spears
0,1,0,0,2,0,0,1,2,0,0,6,1,1,0,0,3,7.000000,2.958333,3,Britney-Spears
0,1,0,0,0,0,0,0,1,0,0,7,3,1,0,0,1,9.000000,3.800000,2,Britney-Spears
0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,6.000000,3.375000,1,Britney-Spears
0,1,0,0,0,0,0,0,1,0,1,5,3,0,0,0,1,17.000000,3.894737,1,Britney-Spears
2,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,9.000000,3.526316,2,Britney-Spears
0,0,0,0,0,0,0,0,0,0,1,2,1,2,0,1,0,5.000000,4.454545,2,Britney-Spears
0,1,0,0,0,0,0,0,0,0,0,3,0,2,0,0,1,10.000000,3.333333,2,Britney-Spears
0,1,0,0,0,0,0,0,1,0,0,4,0,1,0,0,0,8.500000,2.894737,2,Britney-Spears
0,0,0,1,0,0,0,1,1,0,0,5,0,2,0,1,0,17.000000,2.842105,1,Britney-Spears
0,0,0,0,0,0,0,0,0,2,0,3,5,0,0,0,0,13.000000,2.937500,1,Britney-Spears
0,0,0,0,0,0,0,1,1,0,0,5,0,0,1,0,0,7.500000,2.882353,2,Britney-Spears
